census_tract,income,crime_rate_property,ownership_rate,non_english_french,move_rate,immigration_rate,unemployment_rate
535015300,52110,0.03759880367442854,0.2616962187566759,0.4966887417218543,0.11535996581926938,0.5095065157017731,0.04699850459303568
535015400,51682,0.018538975753399047,0.3467029231815092,0.510707002039429,0.13341264445955134,0.4928619986403807,0.028891910265125765
535015500,38614,0.023555555555555555,0.18074074074074073,0.5555555555555556,0.06074074074074074,0.5777777777777777,0.0637037037037037
535015601,34145,0.018724935126150036,0.10615711252653928,0.5307855626326964,0.13800424628450106,0.6289808917197452,0.06457891012031139
535015602,51237,0.02484805148373257,0.21451555237754738,0.4755094744368967,0.10547014658562746,0.5076868072935288,0.025026814444047193
535015700,39791,0.021131758936507938,0.20131629887727448,0.5090979481223383,0.129694154084398,0.5671699574138599,0.07742934572202866
535015800,33083,0.04532647311025358,0.14700477765527378,0.5733186328555678,0.08452774715178243,0.5604557148107313,0.04593899301727306
535015901,46661,0.03445793972118758,0.28475033738191635,0.573549257759784,0.12550607287449392,0.5330634278002699,0.058029689608636977
535015902,52805,0.019424210891363165,0.2767950052029136,0.5962539021852237,0.09365244536940687,0.54630593132154,0.021852237252861603
535016000,56865,0.022338830584707647,0.25037481259370314,0.6341829085457271,0.049475262368815595,0.616191904047976,0.0239880059970015
535016100,49610,0.01642192148963432,0.2296285632018428,0.6226605240426144,0.13245033112582782,0.5931471350417507,0.030233227756982436
535016200,41820,0.01896355353075171,0.22304479878511768,0.5856112376613516,0.16135155656795747,0.566628701594533,0.032270311313591496
535016300,54474,0.014288980338363054,0.23319615912208505,0.48239597622313674,0.12002743484224966,0.4766803840877915,0.04000914494741655
535016400,50017,0.012867162368770764,0.23888625217528872,0.4295206454674893,0.09017560512577123,0.48805568739123556,0.030849549121974372
535016500,50286,0.016772226131832043,0.2076002814919071,0.28735632183908044,0.1477832512315271,0.3577292986159981,0.03635937133474079
535016600,76990,0.012503079576250308,0.22049765952204978,0.16876077851687607,0.15028332101502834,0.22912047302291205,0.04434589800443459
535016701,53151,0.014812744550027948,0.1732811626607043,0.22638345444382338,0.17607602012297374,0.22917831190609278,0.027948574622694244
535016702,40189,0.012582545065143672,0.10083883633767625,0.382830626450116,0.21238622166696414,0.43280385507763697,0.04372657504908085
535016800,35890,0.018229927007299272,0.18156934306569342,0.5045620437956204,0.1760948905109489,0.6140510948905109,0.040145985401459854
535016901,53572,0.016549592582186006,0.20792357403765102,0.5465018263557179,0.1489182354593987,0.6153413880303455,0.028097780275358246
535016902,43802,0.01423808862341992,0.16321711348798446,0.6223086539797194,0.19933324072787886,0.6438394221419642,0.04028337269065148
535017000,52360,0.056075581395348836,0.25726744186046513,0.5712209302325582,0.07122093023255814,0.5755813953488372,0.015988372093023256
535017100,38107,0.028864523631447793,0.1619735858460005,0.4909045601794169,0.10341390480936954,0.5345128332918017,0.0398704211313232
535017200,39321,0.03495158509072821,0.09351372861122165,0.3442101074413052,0.13728611221647433,0.46756864305610824,0.04178272980501393
535017300,37878,0.02114998566102667,0.18640665328362488,0.438772583882994,0.14338973329509608,0.5577860625179237,0.06595927731574419
535017400,43345,0.014153732446415374,0.17960088691796008,0.4745011086474501,0.1367331855136733,0.5728011825572801,0.04582409460458241
535017501,36507,0.03526529857644666,0.18025513033832502,0.4242928452579035,0.1719356627842485,0.5287483823257534,0.04714364947310039
535017502,30561,0.04262995140627301,0.07509939625975556,0.3872772787512885,0.22088057723457516,0.507289059048741,0.05080253276395229
535017600,60942,0.03977627065785781,0.27128157156220767,0.3461178671655753,0.0724976613657624,0.31805425631431244,0.0362488306828812
535018000,38196,0.06351006521122768,0.10844910688970796,0.4827048483130139,0.1552310745676212,0.494754749078537,0.052452509214629996
535018101,58338,0.027369373444921963,0.3358968559149514,0.30309884641483825,0.12440624293146348,0.3381587876046143,0.03392897534494458
535018102,47806,0.024242424242424242,0.25757575757575757,0.3333333333333333,0.12672176308539945,0.35399449035812675,0.027548209366391185
535018200,63276,0.023727185398655138,0.34197886647454373,0.3218059558117195,0.09125840537944284,0.32949087415946204,0.04418828049951969
535018300,64407,0.014913232104121476,0.32383018283235204,0.3873566780291292,0.11310814998450573,0.3788348311124884,0.03486210102262163
535018401,44321,0.02246436686634993,0.21586449080768436,0.4988638711010122,0.14459822350753976,0.48233835984300766,0.03511671142325966
535018402,48654,0.020102147721320063,0.21608171817705604,0.40859088528025145,0.15191199580932424,0.4177579884756417,0.03404924044002095
535018501,39664,0.022276516240298937,0.12216154067260707,0.5058924978442081,0.14946823799942513,0.496550732969244,0.04742742167289451
535018502,42562,0.016170763260025874,0.15739542906425183,0.44523501509271235,0.1347563605002156,0.44307891332470895,0.03988788270806382
535018600,84958,0.023200757575757576,0.28172348484848486,0.09943181818181818,0.08522727272727272,0.17992424242424243,0.03787878787878788
535018700,76066,0.027587814734224433,0.374572583152005,0.318619832141747,0.10258004351880634,0.28442648430214484,0.021759403170655892
535018800,70641,0.029737903225806453,0.3326612903225806,0.26713709677419356,0.10584677419354839,0.3024193548387097,0.025201612903225805
535018900,48172,0.013621029851632613,0.1842658010311247,0.40194767996944814,0.15753293870536567,0.43249952262745844,0.031506587741073136
535019001,40284,0.019492460463405664,0.17040578644109353,0.6687507662130685,0.24334927056515876,0.6981733480446243,0.04719872502145397
535019002,38750,0.01978980322003578,0.14423076923076922,0.3957960644007156,0.16659212880143112,0.46176207513416817,0.04807692307692308
535019100,62085,0.018327743172017248,0.3030666027791088,0.2599425011978917,0.0898418782942022,0.3318160038332535,0.033540967896502155
535019200,35902,0.05537749287713675,0.16025641025641027,0.36324786324786323,0.21901709401709402,0.5341880341880342,0.06944444444444445
535019300,61423,0.00713226064121876,0.22766175967134544,0.42280041081821296,0.08387538514207463,0.38343033207805544,0.04108182129407737
535019402,40057,0.012363636363636363,0.0018181818181818182,0.6436363636363637,0.19363636363636363,0.6036363636363636,0.03636363636363636
535019404,46528,0.03529056907299417,0.11562437160667605,0.6233661773577317,0.2181781620752061,0.6485019103157048,0.03820631409611904
535019500,88052,0.016473802635808422,0.3206364513018322,0.1647380263580842,0.12375441980070717,0.19607843137254902,0.022500803600128575
535019600,103178,0.021557355631042593,0.2828586360073164,0.11693232296838255,0.08296315651946695,0.1744186046511628,0.022210608831983277
