year,month,day,time,temperature,load
2015,6,1,0,7.796600434771036,11917
2015,6,1,1,7.329285950609113,11498
2015,6,1,2,7.255157490304564,11368
2015,6,1,3,6.946736576357987,11444
2015,6,1,4,6.489253932593084,11612
2015,6,1,5,6.517396212646794,12146
2015,6,1,6,7.677149330101362,13095
2015,6,1,7,9.263054846622673,14434
2015,6,1,8,11.722149754757153,14803
2015,6,1,9,12.668384419249564,14787
2015,6,1,10,13.730950510943078,15018
2015,6,1,11,14.579703798149811,15261
2015,6,1,12,15.792429955587245,15132
2015,6,1,13,15.872070766460986,15069
2015,6,1,14,16.009878982503853,15068
2015,6,1,15,15.591285224574746,15109
2015,6,1,16,15.394971983461456,15284
2015,6,1,17,15.500110947389494,15643
2015,6,1,18,14.964436316214364,15441
2015,6,1,19,14.415363290569909,15551
2015,6,1,20,12.949908724248562,15796
2015,6,1,21,11.95037176608442,16027
2015,6,1,22,10.67260643741634,15002
2015,6,1,23,9.629266172556884,13729
2015,6,2,0,8.912105490826029,12831
2015,6,2,1,8.369664838062395,12296
2015,6,2,2,7.857068399730115,11985
2015,6,2,3,7.478857993435862,11841
2015,6,2,4,6.8970731699115335,11906
2015,6,2,5,6.463914272332598,12445
2015,6,2,6,7.832345710908373,13359
2015,6,2,7,10.952215345195214,14612
2015,6,2,8,13.160141874647568,14912
2015,6,2,9,14.317323403336589,14898
2015,6,2,10,15.102007055127775,14893
2015,6,2,11,16.326599336013548,14984
2015,6,2,12,16.998838440261597,15001
2015,6,2,13,17.41023453707776,14882
2015,6,2,14,18.31085451901307,14898
2015,6,2,15,18.588231822680736,15107
2015,6,2,16,18.821169984163216,15370
2015,6,2,17,19.048661432049425,15591
2015,6,2,18,19.033428601928893,15537
2015,6,2,19,17.535032692601252,15805
2015,6,2,20,15.210788556764781,15927
2015,6,2,21,13.152520822540406,15986
2015,6,2,22,11.9768335201286,15104
2015,6,2,23,10.733589981395191,13759
2015,6,3,0,9.69190376407428,12762
2015,6,3,1,9.253552074951289,12242
2015,6,3,2,8.444940189546658,11757
2015,6,3,3,7.980792604698012,11542
2015,6,3,4,7.618876040296122,11507
2015,6,3,5,7.332260449909966,12052
2015,6,3,6,9.716862125419858,13036
2015,6,3,7,11.889024994788665,14278
2015,6,3,8,13.386590950844356,14640
2015,6,3,9,14.854327991728908,14577
2015,6,3,10,15.770416722941029,14618
2015,6,3,11,16.587875581948687,14618
2015,6,3,12,17.223721113662176,14590
2015,6,3,13,17.952661698224144,14744
2015,6,3,14,18.21477909891643,14728
2015,6,3,15,18.5607496980088,14892
2015,6,3,16,18.865009410112492,15310
2015,6,3,17,18.660386686057006,15730
2015,6,3,18,18.277966562662662,15794
2015,6,3,19,17.609174113765462,15955
2015,6,3,20,15.44307957822551,15839
2015,6,3,21,13.837426140647368,15932
2015,6,3,22,12.777718414979425,14882
2015,6,3,23,11.822199734147457,13564
2015,6,4,0,10.689903817899697,12649
2015,6,4,1,9.952910890565056,12076
2015,6,4,2,9.643628517803993,11661
2015,6,4,3,8.311295896714837,11475
2015,6,4,4,8.55918231240822,11746
2015,6,4,5,8.596920875465715,12218
2015,6,4,6,10.278051050181181,13214
2015,6,4,7,13.159407527213336,14656
2015,6,4,8,15.321153830473005,15166
2015,6,4,9,17.013249684923476,15236
2015,6,4,10,18.80222269671819,15337
2015,6,4,11,19.767063576832243,15491
2015,6,4,12,20.2989920136133,15507
2015,6,4,13,20.71281711707777,15795
2015,6,4,14,20.530602786464076,15886
2015,6,4,15,21.01731639590343,16029
2015,6,4,16,21.42204429460276,16342
2015,6,4,17,20.653414864000176,16585
2015,6,4,18,20.532459376444482,16439
2015,6,4,19,19.980281540523812,16563
2015,6,4,20,18.803107743120588,16733
2015,6,4,21,17.509880339563406,16735
2015,6,4,22,16.78780525806347,15649
2015,6,4,23,15.90435327078181,14493
2015,6,5,0,15.483732197229576,13193
2015,6,5,1,14.606526506932221,12635
2015,6,5,2,14.380128679918656,12347
2015,6,5,3,13.997603225544204,12191
2015,6,5,4,14.025202283195432,12128
2015,6,5,5,13.813387351243989,12566
2015,6,5,6,14.80134768945105,13286
2015,6,5,7,16.90991733585774,14802
2015,6,5,8,18.467934751017363,15618
2015,6,5,9,19.72682716951471,16060
2015,6,5,10,20.997473912536755,16476
2015,6,5,11,22.279794410897246,16755
2015,6,5,12,22.45259798822918,16904
2015,6,5,13,22.15830637504515,17262
2015,6,5,14,21.365722711289703,17285
2015,6,5,15,20.365319849223457,16936
2015,6,5,16,19.522262025234653,16845
2015,6,5,17,19.433811107231953,16736
2015,6,5,18,18.586360717377207,16399
2015,6,5,19,18.11709438910352,16246
2015,6,5,20,17.550922252891006,16161
2015,6,5,21,16.955891514471883,16211
2015,6,5,22,16.119764982808444,15284
2015,6,5,23,15.537197794108097,14038
2015,6,6,0,14.650847622279446,12928
2015,6,6,1,13.340193669545677,12247
2015,6,6,2,12.10588631320618,11827
2015,6,6,3,10.785539035117981,11553
2015,6,6,4,10.084678049435437,11420
2015,6,6,5,9.11575050891869,11450
2015,6,6,6,10.046366600329604,11482
2015,6,6,7,11.622432028616917,12144
2015,6,6,8,12.599497239292202,12731
2015,6,6,9,13.622217276616801,12971
2015,6,6,10,14.493602272186031,13320
2015,6,6,11,15.712797883372634,13314
2015,6,6,12,16.446608352922294,13284
2015,6,6,13,16.892196604399697,13066
2015,6,6,14,17.85617678878962,13003
2015,6,6,15,18.311758581807272,13051
2015,6,6,16,18.371579728782073,13424
2015,6,6,17,18.5654369953977,14077
2015,6,6,18,18.38462450109107,14439
