"","ed_num","Conservative","Liberal","NDP","share_middle_class","share_high_income","share_low_educ","share_uni_educ","share_imm","share_english","share_french","share_not_english_or_french","share_married","share_divorced","share_young","share_old"
"169","35059",0.35350655854537,0.542288653042356,0.0863108423059884,0.325383707201889,0.426210153482881,0.272390068800479,0.211725994615615,0.578936051262203,0.889929054195878,0.000881575080811049,0.0473111960035263,0.478194515099662,0.0507050455471902,0.160018302067302,0.177030905536375
"170","35060",0.392360922904584,0.497226588613656,0.0940611053896327,0.247274195719478,0.603311347422264,0.201362435701376,0.296010009731684,0.56187849920615,0.888193165541232,0.000695723347657049,0.0294659300184162,0.486215538847118,0.0316171671018277,0.179911879895561,0.123572127937337
"171","35061",0.412245035682351,0.477097498017647,0.0798846017579674,0.270745348704486,0.541490697408972,0.23270037278658,0.247903075489282,0.372514899725932,0.891794254257698,0.00111818338207466,0.020256322036814,0.470176920550002,0.0520247947958176,0.156202104832942,0.175104730765301
"172","35062",0.264393528561099,0.591219269703543,0.123147143890094,0.290971394517282,0.525029797377831,0.275775434243176,0.241470223325062,0.622386117136659,0.895396778169762,0.000850087133931228,0.0470098185063969,0.486056338028169,0.0348443843031123,0.183229025710419,0.113497970230041
"173","35063",0.403953642029322,0.478437114948481,0.0900016071715566,0.235510705032047,0.646256648029456,0.224808946327934,0.254580862175799,0.473046169718855,0.893563832041015,0.000932163891360536,0.022287191220711,0.480953649440597,0.0346150920110565,0.176329870415297,0.114960989340749
"174","35064",0.361268647515719,0.524241770435211,0.082049069165331,0.244330023292877,0.658207674390094,0.191334681792865,0.275203001788175,0.270873495266247,0.68122621564482,0.00435517970401691,0.0185200845665962,0.467237629146275,0.0392074552934262,0.202627823020737,0.119343464024851
"175","35065",0.426059081892887,0.451756871635024,0.0851161802210258,0.233583132224057,0.61132986155214,0.23974549048678,0.219390906844576,0.299630032644178,0.896520657256854,0.00047192071731949,0.0224805868977648,0.472252949852507,0.0465857023624998,0.184682076001976,0.129537208945817
"176","35066",0.297136169123295,0.356845031271716,0.314875096009656,0.340964931874023,0.357158811704266,0.327267733296711,0.114365172011261,0.125094482237339,0.881724922248526,0.00199600798403194,0.00505964814556933,0.452375867592098,0.0567999486554136,0.150228758469565,0.200564790449907
"177","35067",0.420871258364111,0.344887268006985,0.209006196782618,0.341454611081032,0.382060999819527,0.309651800426808,0.131824198384613,0.204622963243653,0.923434997951812,0.000595836591814695,0.0090865080251741,0.459544956807397,0.060311683737857,0.143772194993103,0.224187773310246
"178","35068",0.488224727086089,0.327319027972442,0.114535009969007,0.274500975536545,0.574065736154885,0.259102691924227,0.155732801595214,0.133754726564705,0.938956900888814,0.000111800547822684,0.0035776175303259,0.470189774743293,0.0359431075100729,0.169972918822519,0.199365904137035
"179","35069",0.16738948954452,0.428012949728178,0.377822572434997,0.291317643930328,0.501927935115011,0.293788625518266,0.0920754126574357,0.0302443224625982,0.478624684868315,0.0163063884567934,0.000911870407123317,0.44484668970435,0.0383376700934181,0.164334769440771,0.174838971121444
"180","35070",0.29309462915601,0.518813299232737,0.162373401534527,0.313432835820896,0.383304715361247,0.278522941032142,0.11683160219187,0.0455937590291823,0.714905768132496,0.0058252427184466,0.00142775556824672,0.441836928331963,0.0533142670554986,0.148345399885152,0.205150146937948
"181","35071",0.39562011665016,0.425144240594884,0.147950761684667,0.325311844574456,0.453692460536483,0.29297415596537,0.115895851437031,0.102962625341841,0.934783589836169,0.000180529855124791,0.00126370898587354,0.455504546658427,0.05106216418176,0.139976159128919,0.241744653595702
"182","35072",0.424972566959801,0.493887454986631,0.0591935458943171,0.214443027703721,0.629071519647618,0.194637509958518,0.294936952281531,0.33976833976834,0.865017433172837,0.000581105761248547,0.0159389008799602,0.479645716232328,0.0399427735004921,0.165932039396972,0.179411691737717
"183","35073",0.433285084545036,0.467382722547536,0.0724554246989934,0.190234469422287,0.714527435339618,0.179016591915912,0.306578983573178,0.349680593580129,0.874946232354436,0.000899386071247018,0.016697297931412,0.480199212788176,0.032732146454082,0.223004694835681,0.102806055253413
"184","35074",0.381669577826846,0.273341462610816,0.318673170088653,0.339482325671238,0.396465134247634,0.349529212940608,0.0914111540318687,0.148713213152929,0.932310756972112,0.000836653386454183,0.00458167330677291,0.437411526794742,0.067132624404405,0.149766495219463,0.18029566753968
"185","35075",0.144940397350993,0.426635761589404,0.385403973509934,0.279166306321889,0.456715385280636,0.140852105289446,0.394935317916188,0.209066881691529,0.569572884855263,0.00606477697965504,0.0149683857370209,0.421250072141744,0.0586675477388638,0.118944746607025,0.154399430691811
"186","35076",0.305444427347797,0.596784120633944,0.0796917474483254,0.231920471924842,0.686475857548613,0.206811731315043,0.246790106771185,0.185954343690552,0.427660830218375,0.0288412354908519,0.00680700373795003,0.462995612776252,0.0421340650602973,0.180307294143326,0.138329136816832
"187","35077",0.243020000309363,0.600643474763724,0.11570171232347,0.297389089365315,0.457758437699002,0.229369720597791,0.277368138542814,0.333174348523609,0.607481317580261,0.0164906274788127,0.0244228280382416,0.45848771069248,0.0540649936394125,0.16087330040146,0.166779560210808
"188","35078",0.19112935048536,0.575708310314892,0.192470996764265,0.301221434200158,0.384554767533491,0.227405072790035,0.286837760768423,0.254305204407766,0.455151321495412,0.0354224677043867,0.016296161044415,0.432566974520207,0.0712504932381533,0.129318075833124,0.187340818595975
"189","35079",0.300303593851827,0.559486910495446,0.098469314768013,0.314237216210482,0.426479949077021,0.219202354495766,0.271127395038741,0.288135593220339,0.69019929766954,0.0077529985862179,0.0181055319925206,0.452559688434837,0.0619204735463219,0.143512433273425,0.202124520507524
"190","35080",0.45674582233949,0.321882145998241,0.165452946350044,0.329399977735723,0.447845931203384,0.349909205196256,0.0908297248219025,0.099100711377567,0.954547472147011,0.00026632340538861,0.00399485108082915,0.455816345614363,0.0462694437121012,0.178047280077335,0.185517180771597
"191","35081",0.130465962060546,0.420424471118548,0.402376765072481,0.268519464595892,0.432921222029222,0.162986299786115,0.341204693912943,0.328468208092486,0.81549677539957,0.000841200112160015,0.0229460697261426,0.429106080127615,0.0613023298561647,0.147006111851477,0.133587610863471
"192","35082",0.43304276604458,0.38879463328068,0.101074513933579,0.340673088952834,0.382459652195671,0.30128180746263,0.117987143889544,0.0782361308677098,0.942231829235342,0.000162118346392867,0.000972710078357201,0.449901768172888,0.0572046017924109,0.123890336659675,0.262134790991335
