CTW_190,SLM_01,CTW_140A,DUR07,AGEGR10,SEX,MARSTAT,CXRFLAG,HHINCG1,LUC_RST,PRV
6,2,6,0,4,2,1,1,4,1,59
6,5,6,30,7,1,1,2,4,2,24
6,99,6,210,2,2,6,2,3,1,35
6,5,6,0,5,1,1,2,8,1,35
6,8,6,180,7,1,1,2,5,1,35
1,7,1,200,3,2,1,2,5,1,47
3,9,1,25,1,1,6,2,8,1,12
1,9,1,80,3,2,1,1,6,2,10
6,99,6,60,3,1,1,1,6,1,24
1,10,1,110,4,2,1,1,8,1,35
6,7,6,130,6,2,1,2,8,1,35
6,7,6,110,4,1,1,2,3,2,10
6,9,6,75,5,2,5,1,5,1,35
6,9,6,0,7,1,3,2,2,1,35
6,98,6,20,6,1,1,1,6,1,59
6,7,2,35,2,2,2,1,3,1,35
3,5,1,35,2,1,6,2,5,1,48
6,10,6,60,5,2,1,2,8,1,35
6,4,6,110,4,2,6,2,1,1,13
6,0,6,50,5,2,1,2,4,2,10
6,7,6,180,7,1,3,2,2,2,13
6,10,2,0,5,2,1,2,2,1,35
4,10,2,75,1,1,6,2,2,1,24
4,8,1,195,2,1,6,2,5,2,48
2,5,1,80,5,2,1,2,6,1,35
6,8,6,70,6,2,1,2,5,1,35
4,10,1,130,4,1,1,2,6,1,24
6,8,6,25,6,2,1,2,4,1,13
6,8,6,0,7,1,1,2,4,1,35
6,8,6,30,5,2,1,2,8,1,59
3,8,2,125,3,2,1,1,8,1,48
6,8,6,30,4,1,6,2,1,2,10
4,2,1,40,4,2,1,2,6,2,12
4,8,1,115,3,2,1,1,8,1,24
6,8,6,0,7,2,3,2,3,1,10
6,10,6,10,6,2,1,2,4,1,59
6,0,6,0,7,1,3,2,2,1,12
1,7,1,140,4,1,6,2,7,2,13
6,5,6,240,4,2,1,2,5,2,24
6,10,6,80,6,2,1,1,3,2,24
6,8,6,0,6,1,1,2,3,1,24
4,7,1,40,6,2,5,2,4,1,24
6,8,6,60,2,2,1,1,8,1,48
6,10,6,20,6,2,1,2,4,1,24
4,9,1,0,1,1,6,2,8,1,24
1,8,1,30,3,2,6,2,7,1,46
6,4,6,165,6,1,1,2,6,1,35
2,7,2,90,2,2,6,2,4,1,35
6,5,6,25,7,2,3,2,2,1,59
4,8,1,80,4,2,2,2,2,1,24
6,10,6,0,5,2,1,2,8,2,12
6,8,2,0,1,1,6,2,4,1,46
6,10,6,260,6,2,3,2,5,1,46
1,7,1,35,3,1,1,2,8,1,59
4,8,1,10,1,2,6,2,1,1,24
1,4,2,200,2,1,6,2,8,1,35
4,7,1,20,1,2,6,2,7,1,24
2,7,1,50,2,1,6,2,8,1,35
6,5,6,30,6,2,3,2,1,1,24
6,7,6,100,4,2,1,1,8,1,10
4,9,1,40,6,2,6,2,2,2,59
4,8,1,50,4,2,1,1,8,1,35
4,8,1,0,4,1,1,1,8,1,35
4,8,2,85,5,2,6,2,3,1,59
6,9,6,170,6,1,2,2,3,1,59
6,6,6,50,7,2,1,2,2,2,24
6,8,2,15,5,2,1,2,2,2,13
1,2,1,85,6,2,2,2,5,1,35
3,9,1,150,2,2,1,1,6,2,13
2,8,1,60,4,1,1,1,6,1,24
6,5,2,65,3,1,4,2,6,1,48
3,4,1,45,4,1,1,1,7,2,59
6,8,6,0,5,2,1,2,8,2,46
6,8,6,0,6,2,1,2,2,1,35
6,9,6,0,6,2,1,2,8,1,10
4,8,1,70,5,1,5,2,5,2,47
6,8,6,50,6,2,1,1,7,1,35
4,8,1,50,5,2,1,2,6,1,24
4,3,1,30,3,1,1,1,5,1,24
6,8,6,20,7,1,1,2,3,2,35
3,4,2,50,4,2,1,2,8,1,48
4,8,2,60,4,2,1,2,7,2,47
1,7,1,75,1,1,6,2,1,1,35
6,10,6,60,5,1,1,2,4,2,10
3,8,1,90,4,1,1,1,6,1,35
3,8,1,185,1,1,6,2,8,1,24
4,8,1,60,1,2,6,2,8,2,35
6,7,2,30,2,1,6,2,5,1,35
1,5,1,40,5,1,4,2,4,1,47
6,10,6,10,6,2,1,2,4,1,35
3,7,1,110,5,2,1,2,8,1,24
1,6,1,130,1,2,6,2,2,1,35
6,10,6,0,2,1,2,1,8,1,35
6,7,6,65,4,2,1,2,7,1,59
3,8,1,135,2,1,6,2,2,2,24
6,10,6,40,5,1,1,2,6,1,35
3,6,1,50,5,2,1,2,7,1,46
6,5,2,40,6,1,1,2,7,1,48
6,8,6,55,2,2,1,1,5,1,59
4,10,1,15,5,1,6,2,2,2,24
4,8,1,60,1,2,6,2,6,1,24
6,9,6,60,1,1,6,2,4,1,35
4,8,1,28,5,1,2,2,5,1,24
6,9,6,0,7,1,1,2,3,1,24
6,8,6,55,7,2,1,2,8,1,59
6,9,6,80,4,2,1,2,5,1,47
6,10,6,0,7,2,3,2,2,1,35
6,6,6,40,6,2,1,1,8,1,35
6,9,6,45,7,1,1,2,2,2,59
6,8,2,900,2,2,2,2,5,1,59
6,10,6,0,7,1,3,1,3,1,35
2,7,1,60,2,1,2,2,6,1,59
6,8,6,280,6,2,1,2,4,1,24
3,6,1,105,3,1,1,1,4,1,35
6,7,6,240,6,2,3,2,5,1,35
6,9,6,0,6,1,1,2,3,1,24
4,6,1,20,5,1,1,2,5,2,24
6,8,2,0,2,2,1,1,4,1,35
6,8,6,0,6,2,1,2,6,1,24
4,4,1,60,5,2,5,1,4,1,35
6,10,6,330,2,2,1,1,8,1,35
6,7,6,50,6,1,1,2,8,1,47
3,7,1,40,1,1,6,2,8,1,35
6,9,6,0,4,2,1,1,8,1,46
6,8,6,110,5,2,1,2,5,1,59
6,10,6,0,7,1,4,2,3,1,12
6,6,6,120,3,2,1,1,8,1,48
6,10,2,0,4,1,1,1,8,1,10
1,7,1,120,3,1,1,1,8,1,35
6,1,6,40,5,1,5,2,3,1,48
6,10,6,60,6,2,3,2,4,1,35
6,10,6,40,2,2,1,1,2,1,35
6,8,2,50,4,1,6,2,3,1,35
6,8,6,95,5,2,5,2,2,1,10
6,10,6,0,6,2,1,1,8,2,10
4,9,1,90,5,2,1,2,5,3,11
4,5,1,15,6,1,1,2,2,2,59
6,10,6,0,3,2,1,1,4,1,46
2,5,1,80,2,2,2,2,4,1,48
6,8,6,85,2,2,6,1,2,1,24
6,7,2,0,6,1,1,2,4,2,12
6,6,2,0,3,1,1,2,3,1,47
4,8,1,75,3,2,2,1,8,2,46
6,5,6,0,3,2,6,2,1,1,24
4,8,1,125,5,1,1,2,5,2,48
6,10,6,135,6,2,3,2,4,2,35
4,8,1,40,3,1,2,2,6,3,11
6,8,6,40,5,1,1,2,4,1,59
1,10,1,0,3,2,1,1,8,1,48
7,97,1,190,5,2,5,2,3,1,35
6,9,6,40,5,2,1,2,7,1,12
6,8,6,200,6,2,1,2,8,1,35
6,99,6,100,7,2,3,2,2,1,35
3,5,1,40,5,1,6,2,1,1,35
6,99,6,110,3,1,6,2,4,1,24
3,5,1,50,5,1,3,1,2,1,13
6,9,6,0,3,1,2,1,6,1,24
6,2,6,85,7,2,3,2,6,1,35
6,7,6,20,5,1,1,2,8,2,35
4,9,1,40,5,1,2,2,5,2,13
2,7,1,100,4,1,1,1,8,1,46
1,8,1,125,2,1,1,2,2,1,24
3,9,2,120,3,2,1,1,2,1,46
4,8,1,55,2,2,1,1,4,3,11
4,7,1,10,5,2,6,2,1,2,24
6,9,6,35,5,1,2,2,4,2,59
6,8,6,80,6,2,1,2,7,1,24
6,5,6,0,7,1,1,2,4,1,24
6,6,6,0,5,2,2,2,7,1,24
6,10,6,0,6,2,5,2,3,1,59
1,5,1,30,3,2,5,1,4,1,35
1,6,2,105,4,1,6,2,6,1,35
6,6,6,0,7,1,1,2,2,1,24
6,8,6,30,7,1,1,2,3,1,35
4,8,1,50,5,2,4,2,2,1,12
4,3,1,0,4,2,5,1,4,1,35
6,5,6,60,6,1,1,2,2,1,13
6,5,6,55,4,1,6,2,1,1,13
6,9,6,85,7,1,1,2,7,1,35
6,7,6,0,4,1,6,2,1,1,13
4,4,1,60,6,2,1,2,5,1,59
4,3,1,165,5,1,5,2,2,1,35
4,4,1,60,3,1,6,2,5,1,59
4,5,7,0,4,2,1,1,1,2,24
4,7,1,0,4,2,1,2,5,2,24
1,9,1,30,4,2,5,2,8,1,24
2,8,1,60,3,2,1,2,8,1,35
4,10,2,105,3,2,1,1,8,1,46
6,1,6,0,7,2,3,2,2,1,24
4,10,1,0,2,2,1,2,5,1,59
6,99,6,60,4,1,1,2,7,1,35
4,8,1,45,3,2,1,1,6,1,35
6,5,6,45,2,2,6,1,1,3,11
3,10,2,25,5,2,5,2,4,1,59
6,8,6,120,4,2,1,2,4,2,10
6,8,6,0,5,2,1,2,2,1,13
4,7,1,840,4,1,1,1,5,1,35
6,10,6,0,5,1,1,2,6,2,10
6,6,6,60,4,1,5,2,2,2,13
6,7,6,0,4,2,1,1,7,2,46
6,9,6,0,7,2,3,1,5,1,12
6,9,6,60,2,1,2,2,4,1,10
4,10,1,10,4,2,1,2,6,2,48
6,5,6,0,6,2,5,2,1,1,24
6,9,6,165,5,2,2,2,6,1,48
6,8,6,0,7,1,1,2,4,1,59
6,8,2,0,5,2,1,2,2,1,35
6,6,6,120,4,2,6,2,2,1,24
6,8,6,180,1,1,6,2,8,1,24
6,0,6,0,7,2,5,2,2,1,35
1,7,2,70,2,1,6,2,2,1,59
6,2,6,0,7,1,1,2,4,1,24
6,7,6,30,5,1,3,2,2,1,59
6,10,2,120,5,1,1,1,7,2,35
3,8,1,110,2,2,2,2,7,1,24
3,7,1,45,2,1,6,2,7,1,47
4,7,2,120,1,1,2,2,6,1,24
6,9,6,65,4,2,1,1,4,1,10
1,5,1,65,5,1,6,2,3,1,24
6,99,6,10,6,2,2,2,4,1,24
6,6,6,30,6,2,2,2,4,1,35
6,9,2,90,5,2,6,2,4,1,24
4,7,2,45,4,2,1,2,4,2,10
3,8,1,80,4,1,1,1,8,1,10
4,8,1,40,1,1,2,2,3,1,13
4,8,1,30,4,1,1,1,6,1,24
6,9,6,20,2,2,1,1,4,1,59
6,7,6,45,6,2,6,2,2,1,35
4,8,1,80,3,1,1,1,8,2,47
3,8,2,115,4,2,1,1,5,1,35
6,7,6,10,2,2,6,1,8,1,35
6,10,2,60,1,2,6,2,1,1,59
6,6,2,55,3,1,1,1,4,1,59
4,6,2,60,5,1,1,1,4,1,35
2,7,1,130,2,2,6,2,3,1,35
4,4,1,10,4,1,6,2,5,1,13
6,3,6,0,5,1,1,2,4,2,10
4,6,1,20,2,2,6,2,4,1,47
6,7,6,0,5,1,1,2,2,1,35
6,9,6,80,6,1,1,2,3,1,59
6,9,6,35,5,2,2,2,7,1,48
3,7,1,70,2,2,2,2,8,1,35
4,10,1,60,5,2,2,2,6,1,24
6,10,6,50,5,1,1,2,6,1,46
4,8,1,0,2,1,6,2,2,2,24
4,8,1,55,3,2,2,1,3,2,59
2,8,1,150,5,2,1,1,8,1,35
6,10,6,0,6,2,3,2,2,1,12
6,2,6,0,3,2,6,2,5,1,35
6,10,6,30,7,1,1,2,4,1,35
4,10,1,60,5,1,1,2,5,1,10
6,10,2,110,4,1,1,1,8,2,47
4,10,1,0,2,1,1,1,8,1,24
4,6,1,30,4,2,2,1,7,2,24
2,9,1,55,4,1,6,2,4,1,12
6,10,6,110,5,2,1,1,8,1,46
6,9,6,0,7,2,1,2,8,1,35
6,9,6,240,2,2,2,1,3,2,46
6,10,6,0,6,1,1,2,7,1,24
3,10,1,70,2,2,6,2,6,1,47
6,9,6,0,7,2,3,2,2,1,59
4,10,1,70,3,2,1,2,2,2,12
3,10,1,80,6,1,1,1,5,2,35
4,7,1,330,5,2,1,1,8,1,35
6,7,6,30,7,2,6,2,2,1,10
1,5,1,60,6,1,6,2,5,1,35
4,10,2,25,5,2,1,1,8,1,10
6,8,6,120,4,2,1,1,8,1,10
6,8,2,155,4,2,1,1,8,1,35
6,9,6,50,2,1,6,2,3,2,24
6,8,6,65,6,1,1,2,4,1,13
6,9,6,50,5,2,5,2,2,1,35
4,10,1,495,4,2,1,2,8,2,12
6,5,6,0,1,1,6,2,6,2,24
6,5,6,90,6,1,5,2,2,1,12
6,7,2,50,4,2,6,2,4,1,35
3,9,1,140,4,2,1,1,8,1,35
6,5,6,30,4,2,5,2,1,1,13
3,8,1,90,3,2,2,2,3,1,10
1,7,2,120,4,2,1,2,7,1,35
6,9,6,30,7,2,3,2,1,2,47
4,7,2,160,4,1,1,1,7,1,24
6,99,6,150,2,2,1,2,8,1,48
6,9,6,25,5,1,1,2,3,1,35
4,8,1,50,4,2,2,1,8,1,24
6,7,6,55,6,2,5,2,3,1,24
4,7,1,20,2,1,2,2,4,3,11
6,8,6,55,6,1,1,2,8,1,35
6,7,2,0,4,2,6,2,3,3,11
6,8,6,45,5,1,1,2,6,1,12
3,8,1,0,3,2,1,1,4,2,13
6,7,6,0,7,2,3,2,2,1,24
6,10,6,0,5,1,6,2,1,3,11
6,8,6,30,6,2,3,2,1,1,35
6,10,6,0,6,2,1,2,3,1,24
4,10,1,20,5,1,1,2,7,2,24
6,5,6,0,7,2,3,2,5,1,24
3,8,1,0,5,1,2,2,2,1,47
6,7,2,60,5,2,1,2,4,1,10
6,6,6,60,6,1,1,2,4,1,47
4,7,1,135,4,2,5,1,4,1,35
3,7,1,0,3,2,1,2,5,1,10
1,8,1,60,5,2,5,2,4,1,35
3,7,1,90,1,1,1,2,5,1,12
1,6,2,30,4,2,1,2,4,1,12
6,8,6,30,3,1,2,1,4,2,13
6,7,2,0,5,1,6,2,5,1,59
6,5,6,90,4,1,1,1,8,1,48
3,9,1,30,5,1,1,2,8,1,59
6,8,6,0,6,2,1,2,8,2,35
3,5,2,45,1,1,6,2,3,1,35
6,10,6,35,5,2,1,2,3,1,59
4,10,1,190,4,2,6,1,3,1,24
4,6,1,40,5,1,3,1,6,1,35
4,8,1,45,2,2,6,1,6,1,59
4,7,1,115,3,2,1,1,8,1,48
4,5,2,90,4,1,6,2,2,1,24
6,10,6,140,7,2,1,2,6,1,13
6,8,6,30,6,2,1,2,2,2,24
6,8,6,10,7,2,3,2,4,1,35
6,8,6,0,4,2,2,2,6,1,46
6,7,6,60,4,1,1,1,3,3,11
6,8,6,0,5,2,1,2,4,1,35
6,7,6,120,3,2,6,1,4,1,24
6,5,6,0,5,2,6,2,1,1,13
4,7,1,150,4,2,4,2,4,1,12
4,8,1,265,5,2,1,2,4,1,24
3,8,1,130,3,2,2,1,7,1,59
4,8,2,90,5,2,5,2,3,1,48
6,3,2,0,1,2,6,2,8,2,47
1,10,1,105,5,1,1,1,6,2,13
4,5,1,60,5,2,1,2,7,1,35
6,10,6,20,7,2,1,2,5,2,48
9,8,9,575,5,1,2,2,5,2,10
1,6,1,115,4,2,6,1,6,1,24
4,8,1,0,2,1,1,1,4,1,10
4,7,1,40,3,2,2,1,4,2,24
4,8,1,30,3,1,1,2,5,1,35
6,3,6,60,3,2,2,1,4,2,24
6,6,2,40,3,1,6,2,1,1,48
4,10,1,20,4,1,1,1,8,1,46
6,8,6,150,5,2,1,2,4,1,12
6,10,6,20,6,1,1,2,4,2,35
1,5,1,10,1,1,6,2,3,1,35
4,8,1,20,3,1,2,1,5,1,24
6,9,2,30,4,2,1,1,3,1,35
6,7,2,90,4,1,1,1,7,1,35
4,7,1,65,4,1,1,1,6,1,35
6,10,6,15,5,2,1,2,5,1,10
4,7,1,35,2,1,1,1,4,2,35
6,7,6,20,1,2,6,2,5,1,35
4,7,1,70,5,2,3,2,4,1,59
6,7,6,20,6,2,3,2,2,2,48
4,8,1,10,3,2,4,1,2,3,11
6,10,6,175,3,2,1,2,8,1,35
4,9,2,240,2,2,2,2,3,1,59
6,9,6,75,6,1,1,2,7,1,35
6,8,6,200,2,1,2,2,4,1,24
1,8,1,95,5,2,2,1,8,2,35
6,7,6,60,3,1,6,2,3,1,10
6,7,6,30,2,2,6,2,8,1,35
6,8,6,0,7,2,3,2,2,1,35
6,8,6,0,6,1,1,2,4,2,35
6,7,6,30,6,2,5,2,2,1,59
6,10,6,150,6,2,1,2,1,2,10
3,8,1,80,1,1,6,2,8,2,48
3,7,1,125,2,2,6,2,8,1,48
6,99,6,30,2,2,6,1,1,2,59
3,8,1,30,5,2,5,2,4,1,24
6,8,6,45,5,2,1,2,4,1,46
6,8,2,270,3,2,2,2,8,1,24
6,10,6,0,6,2,5,2,2,2,47
4,6,2,0,1,2,6,2,8,1,35
4,10,1,40,6,2,1,2,5,1,48
1,8,1,40,5,2,1,2,8,1,59
4,8,1,65,3,2,1,2,8,2,12
3,7,2,115,2,1,6,2,4,1,24
4,8,1,75,3,1,1,1,5,2,13
4,8,1,125,2,1,6,2,4,1,35
6,6,2,30,1,1,6,2,2,1,35
4,7,2,85,2,2,6,2,3,1,24
3,7,1,195,3,1,6,2,4,1,59
4,8,1,180,2,1,2,2,8,2,59
6,3,6,0,4,1,4,2,1,1,48
6,8,6,76,5,2,6,2,1,1,10
4,7,2,105,2,1,6,2,2,1,24
6,8,6,0,5,2,3,2,3,1,35
6,8,6,110,3,2,1,1,3,1,24
6,8,2,0,5,1,1,2,3,2,47
4,7,1,20,5,2,1,2,3,2,59
4,10,1,65,4,2,1,2,5,1,35
4,9,1,130,4,1,6,2,8,1,35
6,0,6,125,6,2,1,2,3,2,12
4,8,1,80,4,2,1,1,4,1,24
3,8,2,90,5,2,1,1,8,1,24
6,10,6,15,6,2,2,2,2,1,35
6,8,6,30,5,1,5,2,8,1,12
6,6,6,70,7,1,1,2,3,1,47
2,7,1,70,4,1,1,2,7,2,10
3,5,1,70,3,2,6,1,2,1,24
3,7,1,140,4,1,1,1,6,1,35
6,5,6,0,7,1,1,1,2,3,11
6,5,6,30,7,2,3,2,2,1,10
4,5,1,55,4,2,1,1,3,2,47
6,99,6,30,2,2,6,1,3,1,10
6,9,6,20,7,2,3,2,1,3,11
6,9,2,0,2,2,6,2,2,1,24
6,5,6,90,6,2,1,2,1,2,47
4,6,1,25,4,2,4,2,2,1,24
4,7,1,65,2,1,2,2,3,2,24
6,8,6,300,1,1,6,2,6,1,35
4,2,1,10,5,2,1,2,3,1,24
4,10,1,30,5,2,1,2,5,1,35
4,9,1,30,5,1,1,2,8,1,24
6,5,6,20,6,1,3,2,4,2,12
1,10,2,55,3,2,6,2,3,1,10
6,99,6,60,2,2,6,2,5,1,59
6,7,6,50,5,2,1,2,3,2,35
6,10,6,0,7,2,3,2,2,2,13
6,8,6,0,5,2,6,2,2,3,11
1,5,1,140,3,1,1,2,3,1,46
4,8,1,15,5,1,6,2,2,2,46
6,7,6,0,5,1,1,1,6,2,35
4,5,1,50,5,1,5,2,4,2,12
6,8,6,70,6,2,1,2,3,1,35
6,8,6,30,7,1,1,2,2,1,35
6,10,6,0,2,2,1,1,3,1,35
6,99,6,170,3,1,2,1,8,1,35
4,8,1,0,5,1,1,1,8,1,10
4,7,1,90,3,1,1,2,8,1,35
6,9,6,0,1,2,1,1,3,2,48
4,7,1,0,1,1,6,2,6,1,47
6,8,6,0,6,2,1,2,5,1,46
4,7,2,0,1,2,6,2,3,3,11
4,9,2,150,1,1,6,2,1,1,59
4,10,1,105,5,1,1,2,8,2,12
6,10,6,70,6,1,1,1,8,1,35
4,8,1,250,4,2,1,1,7,3,11
2,6,1,120,4,1,1,1,8,1,35
6,10,6,10,5,1,1,2,2,2,10
6,7,6,25,3,1,6,2,1,1,35
6,10,6,30,3,1,6,2,1,1,35
4,6,1,45,4,1,6,2,5,1,35
6,5,6,30,5,2,1,2,4,3,11
6,7,6,0,5,1,1,2,5,2,35
3,8,2,80,1,2,6,2,6,1,59
1,8,1,0,5,1,1,1,8,1,24
6,7,6,70,6,2,3,2,3,2,35
6,10,6,0,6,2,3,1,8,1,48
4,10,1,140,6,2,1,2,8,1,47
6,8,6,30,3,2,1,1,7,3,11
6,10,6,105,6,2,1,2,3,1,47
6,7,6,0,6,1,6,2,1,1,59
6,7,6,30,7,2,5,2,1,2,47
6,6,6,0,5,1,1,1,7,1,10
6,3,6,0,2,1,6,2,5,1,35
4,1,2,95,2,1,6,2,5,1,47
6,10,6,50,7,2,1,2,3,2,35
6,7,6,30,5,1,3,2,4,2,35
6,8,6,0,5,2,1,2,5,2,10
6,8,6,60,6,1,1,2,3,2,10
6,8,6,0,7,1,1,2,4,1,24
6,10,6,30,4,2,1,1,7,1,59
4,8,1,25,6,2,5,2,3,1,35
1,7,1,90,5,2,1,1,8,1,46
6,10,6,110,6,2,3,2,2,1,35
4,10,1,120,5,1,1,2,2,2,24
4,10,1,0,4,2,1,2,3,2,10
6,6,6,20,7,1,1,2,2,1,12
6,8,6,55,4,2,1,2,7,1,24
1,7,1,40,1,1,6,2,8,1,35
6,8,6,160,6,2,3,1,6,1,24
1,8,1,120,3,1,1,1,7,1,35
4,7,1,60,5,2,3,2,3,1,12
6,8,2,0,4,2,2,2,3,2,24
1,10,1,95,3,2,1,1,6,3,11
4,7,1,70,2,1,2,2,2,1,24
1,9,1,80,3,2,1,1,5,1,35
1,8,1,95,4,1,1,1,7,1,35
2,10,1,85,3,1,1,1,8,1,59
6,9,6,30,6,1,1,2,2,1,13
6,6,2,20,2,2,6,2,4,1,12
3,7,1,60,5,1,1,1,8,1,48
6,10,6,255,6,2,1,2,7,1,48
6,10,6,0,5,2,1,2,1,2,35
6,1,6,20,6,2,6,2,2,2,48
4,8,1,35,5,1,1,2,8,1,10
6,10,6,20,5,2,1,2,7,1,46
1,5,1,60,5,1,2,2,8,2,35
4,9,1,40,4,1,1,2,4,1,48
6,8,2,20,4,2,1,1,3,1,24
6,8,6,30,5,2,4,2,1,1,24
6,10,6,30,5,2,1,2,2,1,24
6,6,6,85,5,2,5,2,3,1,48
4,7,1,50,6,1,1,2,7,1,35
6,9,6,40,5,1,1,2,3,1,24
6,7,2,105,3,2,4,1,6,1,35
4,7,1,95,2,2,6,2,2,2,24
6,2,6,30,5,1,5,2,2,1,47
6,8,6,0,5,2,1,2,6,2,35
6,99,6,30,2,1,1,2,3,1,48
6,10,6,0,7,2,3,2,1,1,47
6,98,6,90,4,1,6,2,1,1,47
4,7,1,50,4,2,6,2,4,1,46
1,8,1,0,3,1,1,1,8,1,35
6,8,6,5,7,1,3,2,4,1,24
6,10,6,60,3,2,1,2,1,1,59
6,8,6,45,6,2,5,2,1,1,13
4,8,1,50,4,1,6,2,4,1,24
6,10,6,45,5,1,4,2,2,3,11
4,9,1,60,2,1,1,2,6,1,48
6,8,6,20,6,2,6,2,4,1,24
6,8,6,60,5,2,3,2,1,2,35
6,8,6,215,5,2,1,2,6,1,35
4,8,1,120,4,1,6,2,4,1,24
6,6,6,20,5,2,5,2,4,1,13
6,8,6,0,4,2,6,2,4,3,11
6,6,6,20,6,1,3,2,6,1,24
4,7,1,80,4,2,6,2,5,1,48
6,8,6,0,7,2,1,2,4,1,35
6,9,6,0,7,2,3,2,2,1,24
6,9,6,90,7,1,1,2,6,1,35
4,10,1,20,5,2,1,2,2,2,13
6,9,6,330,4,2,1,2,8,2,48
6,2,6,0,7,2,3,2,2,1,59
1,5,2,50,1,2,6,2,8,1,12
4,7,1,85,3,2,1,1,4,1,48
6,8,6,0,7,2,3,1,2,1,35
6,6,6,250,3,1,1,1,8,1,48
6,10,6,555,6,2,1,2,3,1,48
6,7,6,0,6,2,1,2,4,1,35
6,10,6,20,7,1,3,2,2,1,24
6,6,6,0,4,2,6,2,2,1,59
6,8,6,0,5,1,5,2,3,2,13
6,6,6,0,7,2,3,2,2,1,24
4,8,1,30,2,1,1,1,7,1,13
6,8,6,110,5,2,1,2,8,1,35
4,9,1,230,2,2,6,2,5,1,48
6,5,6,90,6,1,1,2,2,3,11
4,5,1,120,5,2,2,2,4,1,24
6,8,6,300,5,1,2,2,7,1,59
6,6,6,20,2,1,6,2,2,1,10
6,6,2,35,3,2,1,1,5,1,12
6,7,6,40,7,2,3,2,3,1,35
4,6,1,55,2,2,2,2,3,1,59
6,8,6,80,6,2,3,2,3,1,47
6,9,6,30,7,2,3,2,3,1,59
6,10,6,0,4,2,6,2,2,1,12
6,5,6,20,3,2,5,1,3,1,59
6,10,6,30,6,1,2,2,8,2,59
4,7,1,35,4,1,6,2,3,1,48
6,7,2,105,1,2,6,2,3,1,35
6,8,6,0,5,2,1,1,8,1,35
1,7,1,35,3,2,1,2,6,1,59
4,6,2,185,2,1,1,2,3,1,24
4,10,1,10,5,2,6,2,1,1,24
4,10,1,40,3,2,2,2,8,1,35
4,7,2,65,1,2,6,2,3,1,35
6,10,6,0,6,1,1,2,3,1,13
4,7,1,50,5,1,1,2,4,1,24
4,10,1,30,4,2,6,2,2,1,13
6,8,6,0,5,2,6,2,3,1,59
6,8,6,65,5,2,5,2,3,1,59
4,10,1,135,4,2,1,2,8,1,48
3,8,1,55,1,1,6,2,5,1,35
6,10,2,0,1,2,6,2,5,1,35
6,8,6,0,3,2,1,1,2,1,35
6,5,6,0,5,2,5,2,3,1,59
6,10,6,0,6,2,1,2,3,1,24
6,8,6,30,6,2,1,2,2,1,24
3,4,1,55,3,1,1,1,7,1,10
3,7,1,100,4,1,6,2,2,1,35
6,9,6,0,6,2,1,2,2,2,13
3,8,2,85,3,2,6,2,3,1,24
3,8,1,40,1,2,6,2,7,3,11
6,9,6,10,6,2,1,2,4,2,12
6,8,6,50,7,2,1,2,3,1,24
6,4,6,115,6,2,1,2,4,1,35
6,8,6,0,7,1,1,2,4,1,35
4,5,1,50,3,2,2,1,4,1,24
6,10,6,0,6,1,1,2,7,1,59
6,8,2,0,4,2,4,2,3,1,24
6,8,6,0,5,1,1,2,7,1,13
3,7,2,45,2,1,1,1,4,1,59
4,10,1,75,4,2,1,1,8,2,48
1,9,1,210,3,1,1,1,8,1,24
6,8,6,70,6,1,4,2,2,1,35
3,5,1,275,5,2,1,2,5,1,59
6,7,6,0,1,1,6,2,7,1,13
1,7,1,30,5,1,5,2,2,1,35
4,7,1,120,2,1,2,2,6,1,24
6,8,6,40,5,2,3,2,3,1,48
3,8,1,125,2,2,6,2,3,1,35
4,10,1,20,2,2,6,1,2,2,24
6,8,2,40,4,2,1,1,6,1,46
3,5,2,0,3,2,1,1,6,1,35
6,10,6,0,6,2,5,2,1,1,24
6,6,6,105,5,2,5,2,1,1,24
3,9,1,255,2,1,6,2,3,2,24
4,8,2,35,4,2,6,2,3,1,10
6,8,2,20,3,2,5,2,1,1,24
2,6,1,60,4,1,1,1,5,1,24
6,8,6,205,6,1,5,2,4,1,35
4,6,1,45,2,1,6,2,4,1,35
6,10,6,0,5,2,5,2,4,2,24
6,10,6,0,2,2,1,1,4,1,35
6,6,6,20,6,2,6,2,1,1,35
6,6,2,40,4,2,6,2,2,1,35
6,8,2,0,5,1,1,2,2,2,12
6,8,6,45,2,2,1,2,5,2,48
3,9,1,85,2,1,1,1,7,1,48
4,10,1,30,5,2,1,2,8,1,12
3,7,2,45,1,2,6,2,6,1,12
6,4,6,60,5,1,4,2,1,1,48
1,7,1,0,3,2,1,1,4,1,24
1,5,1,25,3,1,1,1,7,1,35
4,6,2,30,3,2,6,2,2,3,11
4,8,1,50,7,1,1,2,8,2,59
6,10,6,0,6,1,1,2,2,1,24
6,7,6,0,6,2,1,2,3,3,11
4,8,2,90,4,2,2,2,4,1,24
6,8,6,40,6,1,1,2,3,2,12
4,7,1,145,3,2,1,1,8,1,35
4,9,2,75,2,2,1,2,7,1,35
3,5,1,120,4,2,6,1,4,1,35
6,8,2,30,4,1,1,1,3,1,35
6,7,2,0,5,1,1,1,6,1,59
2,8,1,80,3,1,5,1,8,1,24
6,8,6,0,6,2,1,2,6,1,24
6,8,6,225,5,1,1,2,5,1,24
4,5,1,70,5,2,5,2,3,2,59
6,2,2,200,5,2,4,1,8,1,47
6,8,6,80,1,2,2,1,2,2,24
