dist_no,liberal_vote_share,immigrant_share
10001,0.5590457634367724,0.011792725506971581
10002,0.8179642083665792,0.009377192509039883
10003,0.7482227488151659,0.00952626158599382
10004,0.7175301058756971,0.029598852814648673
10005,0.7385472456006121,0.013748801312490613
10006,0.46733511586452764,0.060387178080912984
10007,0.5786031561795496,0.029824711206528503
11001,0.6502557260395819,0.05298374982930493
11002,0.5627214741318214,0.11899484678893998
11003,0.4925100646006928,0.028681807539217983
11004,0.6207725169099324,0.048015542603386065
12001,0.7438767722089876,0.025169301795224787
12002,0.5853421593656101,0.033906784136071816
12003,0.6372917206250539,0.03492989204615957
12004,0.5817294815381672,0.07118016056164071
12005,0.5172537335948106,0.11330726138885953
12006,0.6864554004672617,0.1537063009713781
12007,0.7074069314141285,0.042712514227520516
12008,0.47951388170017184,0.039711900853198916
12009,0.5693036475603979,0.050854840466078625
12010,0.7320495924244643,0.020305483173476743
12011,0.6299393594430701,0.04114549045424622
13001,0.5071326256303593,0.013561980177655513
13002,0.6901541484056218,0.03621251154425704
13003,0.4926158982920252,0.08523102409276977
13004,0.4087142246903033,0.03389915314661696
13005,0.5569613467002626,0.02716221140150386
13006,0.47305026949730505,0.018465290479923353
13007,0.5775061970369516,0.06685299894243843
13008,0.43917101724410695,0.04832508768973915
13009,0.4880206239209101,0.0611746027745927
13010,0.46605251515861246,0.0444861881671108
24001,0.3213975317225795,0.015605955323681182
24002,0.29626576042148445,0.012271598496487617
24003,0.46837151546781364,0.3912403041371853
24004,0.4451231669959579,0.2210154577648881
24005,0.4326361962949908,0.028137104436161662
24006,0.39547805039058204,0.010570677496974839
24007,0.22264772198561253,0.01393154690747246
24008,0.2542426520036394,0.07482114777827531
24009,0.24262043865530122,0.02072144458070791
24010,0.20705134349340235,0.02400709775063932
24011,0.29341641831481985,0.04555022455536334
24012,0.20277175311546522,0.015841229040260633
24013,0.3250071113639596,0.07659073055773763
24014,0.2827748779255767,0.04970587351057753
24015,0.5405917965425855,0.39591416580885264
24016,0.4387558585428206,0.04528451433929072
24017,0.5032832692979392,0.33002732799167145
24018,0.2802029101588573,0.014425681245436774
24019,0.2321649272177973,0.04643183471012736
24020,0.2686697320437609,0.021030381962977986
24021,0.3909659727318373,0.09791902908455669
24022,0.3109005821253282,0.01512757383113463
24023,0.3687803479600796,0.04044225718051565
24024,0.5489240912004395,0.30549501178388533
24025,0.2653571634698628,0.02809559271545596
24026,0.38733372037256736,0.00975609756097561
24027,0.5376470588235294,0.08691282662100797
24028,0.2992832922318126,0.21855280949519232
24029,0.56546904642069,0.3340991582361572
24030,0.5136724386724387,0.16742712414270672
24031,0.2821535042071654,0.02799224091572559
24032,0.28480552148514643,0.009630586296733395
24033,0.2856806576612465,0.1558268131206741
24034,0.3646390606544848,0.09346325927049366
24035,0.18439190289259935,0.008197424483609918
24036,0.6413692386699191,0.27933578316248997
24037,0.4390193999590797,0.21598636269973587
